Location,Price,Bedrooms,Bathrooms
St. John's,"$349,900.00",4,3.0
St. John's,"$239,000.00",3,3.0
St. John's,"$55,000.00",2,1.0
St. John's,"$59,900.00",4,1.0
St. John's,"$49,999.00",2,1.0
St. John's,"$94,500.00",3,2.0
St. John's,"$335,000.00",4,5.0
St. John's,"$253,000.00",4,2.0
St. John's,"$234,900.00",2,2.0
St. John's,"$249,900.00",2,2.0
St. John's,"$829,000.00",3,3.0
St. John's,"$254,900.00",3,2.0
St. John's,"$299,500.00",4,4.0
St. John's,"$374,900.00",2,2.0
St. John's,"$269,900.00",3,2.0
St. John's,"$325,000.00",4,4.0
St. John's,"$279,900.00",4,3.0
St. John's,"$89,900.00",3,1.0
St. John's,"$230,000.00",2,2.0
St. John's,"$129,900.00",0,0.0
St. John's,"$339,900.00",0,0.0
St. John's,"$275,900.00",0,0.0
St. John's,"$267,900.00",0,0.0
St. John's,"$267,900.00",0,0.0
St. John's,"$299,900.00",0,0.0
St. John's,"$299,900.00",0,0.0
St. John's,"$259,900.00",0,0.0
St. John's,"$259,900.00",0,0.0
St. John's,"$79,900.00",0,0.0
Mount Pearl,"$415,000.00",0,0.0
Bay Roberts,"$124,900.00",0,0.0
St. John's,"$319,900.00",0,0.0
St. John's,"$79,900.00",0,0.0
St. John's,"$55,000.00",0,0.0
St. John's,"$459,900.00",0,0.0
St. John's,"$409,900.00",0,0.0
St. John's,"$115,000.00",0,0.0
St. John's,"$325,000.00",0,0.0
St. John's,"$899,900.00",0,0.0
St. John's,"$539,750.00",0,0.0
St. John's,"$409,900.00",5,3.0
St. John's,"$269,900.00",3,3.0
St. John's,"$249,900.00",3,1.0
St. John's,"$119,900.00",2,1.0
St. John's,"$289,900.00",4,2.0
St. John's,"$329,900.00",4,2.0
St. John's,"$159,900.00",3,2.0
St. John's,"$945,000.00",7,4.0
St. John's,"$399,900.00",2,2.0
St. John's,"$379,900.00",4,2.5
St. John's,"$225,000.00",3,1.0
St. John's,"$174,900.00",3,2.0
St. John's,"$399,900.00",3,3.0
St. John's,"$269,900.00",4,2.0
St. John's,"$350,000.00",5,3.0
St. John's,"$319,900.00",3,3.0
St. John's,"$738,600.00",3,3.0
St. John's,"$295,000.00",3,2.0
St. John's,"$245,000.00",3,2.0
St. John's,"$184,000.00",0,0.0
St. John's,"$89,999.00",0,0.0
St. John's,"$329,900.00",0,0.0
Mount Pearl,"$369,900.00",0,0.0
St. John's,"$569,900.00",0,0.0
St. John's,"$280,000.00",0,0.0
Holyrood,"$299,900.00",0,0.0
St. John's,"$339,900.00",0,0.0
St. Johns,"$439,900.00",0,0.0
St. John's,"$694,900.00",0,0.0
St. John's,"$262,000.00",0,0.0
St. John's,"$274,900.00",0,0.0
St. John's,"$389,900.00",0,0.0
St. John's,"$175,900.00",0,0.0
St. John's,"$329,900.00",0,0.0
St. John's,"$384,900.00",0,0.0
St. John's,"$359,900.00",0,0.0
St. John's,"$105,000.00",0,0.0
St. John's,"$599,900.00",0,0.0
St. John's,"$175,000.00",0,0.0
St. John's,"$404,900.00",0,0.0
St. John's,"$319,900.00",3,4.0
St. John's,"$190,000.00",3,2.0
St. John's,"$239,500.00",3,3.0
St. John's,"$179,900.00",7,2.0
St. John's,"$319,900.00",4,3.0
St. John's,"$297,500.00",3,2.0
St. John's,"$348,900.00",3,2.0
St. John's,"$279,900.00",4,2.0
St. John's,"$299,000.00",3,2.0
St. John's,"$624,500.00",5,4.0
St. John's,"$99,900.00",2,1.0
St. John's,"$199,500.00",3,3.0
St. John's,"$474,900.00",3,3.0
St. John's,"$274,900.00",3,2.0
St. John's,"$155,000.00",2,1.0
St. John's,"$49,900.00",4,1.0
St. John's,"$189,900.00",3,1.0
St. John's,"$257,500.00",5,2.0
St. John's,"$319,900.00",3,3.0
St. John's,"$279,900.00",0,0.0
St. John's,"$174,900.00",0,0.0
St. John's,"$244,900.00",0,0.0
St. John's,"$204,900.00",0,0.0
St. John's,"$149,900.00",0,0.0
St. John's,"$506,000.00",0,0.0
St. John's,"$464,000.00",0,0.0
St. John's,"$379,900.00",0,0.0
St. John's,"$149,900.00",0,0.0
St. John's,"$199,900.00",0,0.0
St. John's,"$99,999.00",0,0.0
St. John's,"$239,900.00",0,0.0
St. John's,"$418,000.00",0,0.0
St. John's,"$229,900.00",0,0.0
St. John's,"$255,000.00",0,0.0
St. John's,"$250,000.00",0,0.0
St. John's,"$359,900.00",0,0.0
St. John's,"$255,000.00",0,0.0
St. John's,"$209,900.00",0,0.0
St. John's,"$269,900.00",0,0.0
St. John's,"$249,900.00",0,0.0
St. John's,"$194,900.00",4,2.0
St. John's,"$459,900.00",3,4.0
St. John's,"$154,900.00",4,2.0
St. John's,"$359,900.00",2,2.0
St. John's,"$599,000.00",3,2.0
St. John's,"$249,000.00",2,2.0
St. John's,"$94,500.00",4,1.0
St. John's,"$189,900.00",3,1.0
St. John's,"$229,900.00",3,2.0
St. John's,"$250,000.00",3,2.0
St. John's,"$140,000.00",3,2.0
St. John's,"$359,900.00",2,2.0
St. John's,"$379,000.00",4,3.0
St. John's,"$229,000.00",3,2.0
St. John's,"$64,900.00",1,1.0
St. John's,"$149,900.00",4,1.0
St. John's,"$149,900.00",2,1.0
St. John's,"$424,900.00",2,2.0
St. John's,"$369,900.00",7,5.0
St. John's,"$199,900.00",0,0.0
St. John's,"$299,999.00",0,0.0
St. John's,"$257,700.00",0,0.0
St. John's,"$179,900.00",0,0.0
St. John's,"$275,000.00",0,0.0
St. John's,"$449,000.00",0,0.0
St. John's,"$169,900.00",0,0.0
St. John's,"$599,900.00",0,0.0
St. John's,"$309,900.00",0,0.0
St. John's,"$499,900.00",0,0.0
St. John's,"$269,900.00",0,0.0
St. John's,"$275,000.00",0,0.0
St. John's,"$179,000.00",0,0.0
St. John's,"$739,000.00",0,0.0
St. John's,"$319,000.00",0,0.0
St. John's,"$170,000.00",0,0.0
St. John's,"$329,000.00",0,0.0
St. John's,"$289,900.00",0,0.0
St. John's,"$369,000.00",0,0.0
St. John's,"$270,000.00",0,0.0
St. John's,"$172,000.00",0,0.0
St. John's,"$99,000.00",3,1.0
St. John's,"$429,900.00",3,3.0
St. John's,"$149,900.00",2,2.0
St. John's,"$69,900.00",3,1.0
St. John's,"$349,900.00",3,2.0
Harbour Grace,"$147,700.00",2,1.0
St. John's,"$324,900.00",3,2.0
St. John's,"$104,500.00",2,1.0
St. John's,"$79,900.00",2,1.0
St. John's,"$349,900.00",3,1.0
St. John's,"$269,900.00",7,2.0
St. John's,"$249,900.00",3,2.0
St. John's,"$124,900.00",3,1.0
St. John's,"$254,900.00",7,2.0
St. John's,"$265,000.00",3,2.0
St. John's,"$379,000.00",4,3.0
St. John's,"$474,900.00",4,2.0
St. John's,"$119,900.00",3,1.0
St. John's,"$69,900.00",4,1.0
St. John's,"$220,000.00",0,0.0
St. John's,"$140,000.00",0,0.0
St. John's,"$419,000.00",0,0.0
St. John's,"$279,900.00",0,0.0
St. John's,"$319,000.00",0,0.0
St. John's,"$164,900.00",0,0.0
St. John's,"$359,900.00",0,0.0
St. John's,"$649,000.00",0,0.0
St. John's,"$399,900.00",0,0.0
St. John's,"$229,000.00",0,0.0
St. John's,"$39,900.00",0,0.0
St. John's,"$119,900.00",0,0.0
St. John's,"$419,000.00",0,0.0
St. John's,"$69,000.00",0,0.0
St. John's,"$199,500.00",0,0.0
St. John's,"$129,000.00",0,0.0
St. John's,"$249,000.00",0,0.0
St. John's,"$169,000.00",0,0.0
St. John's,"$209,900.00",0,0.0
St. John's,"$459,000.00",0,0.0
St. John's,"$299,000.00",0,0.0
St. John's,"$115,000.00",2,1.0
St. John's,"$175,000.00",2,1.0
St. John's,"$185,000.00",5,2.5
St. John's,Please Contact,3,1.0
St. John's,"$189,000.00",2,1.0
St. John's,"$169,000.00",7,2.0
St. John's,"$115,900.00",4,2.0
St. John's,"$170,000.00",4,1.0
St. John's,"$329,000.00",3,2.0
St. John's,"$605,596.00",3,3.0
St. John's,"$59,900.00",2,1.0
Spaniards Bay,"$379,900.00",4,4.0
St. John's,"$2,900,000.00",4,7.0
St. John's,"$64,500.00",2,1.0
St. John's,"$1,100,000.00",4,4.0
St. John's,"$124,900.00",2,2.0
St. John's,"$229,000.00",2,2.0
St. John's,"$279,900.00",4,2.0
St. John's,"$289,900.00",4,2.0
St. John's,"$29,900.00",0,0.0
St. John's,"$469,000.00",0,0.0
St. John's,"$279,900.00",0,0.0
St. John's,"$85,900.00",0,0.0
St. John's,"$169,900.00",0,0.0
St. John's,"$169,000.00",0,0.0
St. John's,"$299,900.00",0,0.0
St. John's,"$129,900.00",0,0.0
St. John's,"$329,000.00",0,0.0
St. John's,"$329,000.00",0,0.0
St. John's,"$159,900.00",0,0.0
St. John's,"$289,900.00",0,0.0
St. John's,"$95,000.00",0,0.0
St. John's,"$299,000.00",0,0.0
St. John's,"$67,900.00",0,0.0
St. John's,"$529,750.00",0,0.0
St. John's,"$329,900.00",0,0.0
St. John's,"$359,900.00",0,0.0
St. John's,"$309,900.00",0,0.0
St. John's,"$479,900.00",0,0.0
St. John's,"$218,000.00",0,0.0
St. John's,"$349,900.00",2,2.0
St. John's,"$409,500.00",3,3.0
St. John's,"$945,000.00",7,4.0
St. John's,"$899,900.00",4,5.0
St. John's,"$699,900.00",3,2.5
St. John's,"$689,000.00",5,3.0
St. John's,"$547,900.00",7,3.5
St. John's,"$474,900.00",3,2.5
St. John's,"$349,900.00",4,4.0
St. John's,"$329,900.00",4,1.5
St. John's,"$299,900.00",7,3.0
St. John's,"$259,900.00",3,1.0
St. John's,"$169,000.00",3,1.0
St. John's,"$155,000.00",4,2.0
St. John's,"$179,000.00",5,2.5
St. John's,"$99,900.00",3,1.5
St. John's,"$899,900.00",3,2.0
St. John's,"$299,900.00",3,2.0
St. John's,"$309,900.00",3,3.0
St. John's,"$209,900.00",0,0.0
St. John's,"$249,000.00",0,0.0
St. John's,"$329,900.00",0,0.0
St. John's,"$1,090,000.00",0,0.0
St. John's,"$265,000.00",0,0.0
St. John's,"$169,000.00",0,0.0
St. John's,"$269,900.00",0,0.0
St. John's,"$358,000.00",0,0.0
St. John's,"$124,900.00",0,0.0
St. John's,"$265,000.00",0,0.0
St. John's,"$249,900.00",0,0.0
St. John's,"$769,900.00",0,0.0
St. John's,"$289,900.00",0,0.0
St. John's,"$189,900.00",0,0.0
St. John's,"$289,900.00",0,0.0
St. John's,"$109,900.00",0,0.0
St. John's,"$1,660,000.00",0,0.0
St. John's,"$600,000.00",0,0.0
St. John's,"$210,000.00",0,0.0
St. John's,"$361,000.00",0,0.0
St. John's,"$364,900.00",0,0.0
St. John's,"$245,000.00",4,2.0
St. John's,"$429,000.00",5,3.0
St. John's,"$349,900.00",4,3.0
St. John's,"$259,500.00",3,2.0
St. John's,"$149,000.00",3,1.0
St. John's,"$75,000.00",2,1.0
St. John's,"$139,000.00",3,2.0
St. John's,"$120,000.00",5,2.0
St. John's,"$319,000.00",3,3.0
St. John's,"$105,000.00",2,1.0
St. John's,"$349,900.00",3,2.0
St. John's,"$699,900.00",3,3.0
St. John's,"$349,900.00",3,2.0
St. John's,"$69,000.00",2,2.0
St. John's,"$350,000.00",3,2.0
St. John's,"$84,900.00",4,2.0
St. John's,"$293,000.00",5,2.0
St. John's,"$60,000.00",3,1.0
St. John's,"$465,000.00",3,4.0
St. John's,"$259,900.00",0,0.0
St. John's,"$259,900.00",0,0.0
St. John's,"$329,900.00",0,0.0
St. John's,"$94,500.00",0,0.0
St. John's,"$219,900.00",0,0.0
St. John's,"$349,900.00",0,0.0
St. John's,"$174,900.00",0,0.0
St. John's,"$549,000.00",0,0.0
St. John's,"$775,000.00",0,0.0
St. John's,"$950,000.00",0,0.0
St. John's,"$89,900.00",0,0.0
St. John's,"$229,500.00",0,0.0
St. John's,"$295,000.00",0,0.0
St. John's,"$99,900.00",0,0.0
St. John's,"$319,900.00",0,0.0
St. John's,"$529,900.00",0,0.0
St. John's,"$129,900.00",0,0.0
St. John's,"$204,900.00",0,0.0
St. John's,"$379,999.00",0,0.0
St. John's,"$249,900.00",0,0.0
St. John's,"$275,000.00",0,0.0
St. John's,"$344,900.00",3,3.0
St. John's,"$90,000.00",2,2.0
St. John's,"$179,000.00",2,1.0
St. John's,"$174,900.00",3,1.0
St. John's,"$529,900.00",3,3.0
St. John's,"$169,000.00",2,2.0
St. John's,"$174,500.00",7,3.0
St. John's,"$264,900.00",2,2.0
St. John's,"$219,900.00",2,1.0
St. John's,"$309,900.00",3,2.0
St. John's,"$309,000.00",3,2.0
St. John's,"$299,000.00",3,2.0
St. John's,"$289,000.00",3,2.0
St. John's,"$299,900.00",3,2.0
St. John's,"$199,900.00",2,1.0
St. John's,"$239,900.00",4,3.0
St. John's,"$299,000.00",3,2.0
St. John's,"$289,000.00",3,3.0
St. John's,"$219,900.00",2,1.0
St. John's,"$244,900.00",0,0.0
St. John's,"$899,900.00",0,0.0
St. John's,"$205,000.00",0,0.0
St. John's,"$94,900.00",0,0.0
St. John's,"$260,000.00",0,0.0
St. John's,"$419,900.00",0,0.0
St. John's,"$254,900.00",0,0.0
St. John's,"$450,000.00",0,0.0
St. John's,"$364,900.00",0,0.0
St. John's,"$194,900.00",0,0.0
St. John's,"$229,900.00",0,0.0
St. John's,"$119,900.00",0,0.0
St. John's,"$409,900.00",0,0.0
St. John's,"$495,000.00",0,0.0
St. John's,"$179,900.00",0,0.0
St. John's,"$79,800.00",0,0.0
St. John's,"$192,900.00",0,0.0
St. John's,"$359,900.00",0,0.0
St. John's,"$139,000.00",0,0.0
St. John's,"$79,900.00",0,0.0
St. John's,"$499,900.00",0,0.0
St. John's,"$349,900.00",3,3.0
St. John's,"$120,000.00",2,1.0
St. John's,"$129,500.00",7,2.0
St. John's,"$689,900.00",4,3.0
St. John's,"$169,900.00",3,1.0
St. John's,"$270,000.00",4,2.0
St. John's,"$169,000.00",3,2.0
St. John's,"$239,900.00",3,2.0
St. John's,"$629,900.00",5,5.0
St. John's,"$205,000.00",1,1.0
St. John's,"$219,900.00",4,3.0
St. John's,"$289,900.00",2,2.0
St. John's,"$198,000.00",4,2.0
St. John's,"$334,900.00",5,2.0
St. John's,"$579,900.00",4,3.0
St. John's,"$159,900.00",3,3.0
St. John's,"$94,500.00",3,2.0
St. John's,"$209,999.00",3,2.0
St. John's,"$429,900.00",4,4.0
St. John's,"$429,900.00",0,0.0
St. John's,"$99,900.00",0,0.0
St. John's,"$254,900.00",0,0.0
St. John's,"$239,900.00",0,0.0
St. John's,"$49,999.00",0,0.0
St. John's,"$348,000.00",0,0.0
St. John's,"$348,000.00",0,0.0
St. John's,"$154,900.00",0,0.0
St. John's,"$729,900.00",0,0.0
St. John's,"$224,900.00",0,0.0
St. John's,"$50,000.00",0,0.0
St. John's,"$249,000.00",0,0.0
St. John's,"$269,900.00",0,0.0
St. John's,"$275,000.00",0,0.0
St. John's,"$549,900.00",0,0.0
St. John's,"$134,500.00",0,0.0
St. John's,"$799,900.00",0,0.0
St. John's,"$189,900.00",0,0.0
St. John's,"$314,900.00",0,0.0
St. John's,"$605,000.00",0,0.0
St. John's,"$49,900.00",0,0.0
Ville de Montréal,"289 000,00 $",1 chambre et salon,1.5
Riviere-des-Prairies—Pointe-aux-Trembles,"689 000,00 $",4,2.0
Ville de Montréal,"5 104 971,00 $",3,3.0
Ville de Montréal,"1 616 367,00 $",3,3.0
Ville de Montréal,"1 590 174,00 $",3,3.0
Ville de Montréal,"375 000,00 $",1,1.0
Ville de Montréal,"1 675 303,00 $",3,3.0
Ville de Montréal,"624 000,00 $",2,1.0
Ville de Montréal,"1 675 303,00 $",3,3.0
Ville de Montréal,"2 595 000,00 $",3,1.0
Ville de Montréal,"399 000,00 $",2,1.0
Ville de Montréal,"969 000,00 $",2,2.0
Ville de Montréal,"242 000,00 $",1,1.0
Boisbriand,"179 900,00 $",Studio,1
Boisbriand,"799 000,00 $",4,3.0
Montréal,"1 249 000,00 $",3,1.0
Sainte-Marthe-sur-le-Lac,"319 000,00 $",2,1.0
Montréal,"659 900,00 $",5,2.0
Ville de Montréal,"1 950 000,00 $",6 chambres ou plus,6 ou plus
Ville de Montréal,"699 000,00 $",0,0
Ville de Montréal,"475 000,00 $",0,0
Ville de Montréal,"645 000,00 $",0,0
Ville de Montréal,"425 000,00 $",0,0
Ville de Montréal,"1 275 000,00 $",0,0
Ville de Montréal,"730 000,00 $",0,0
Ville de Montréal,"289 000,00 $",0,0
Ville de Montréal,"507 500,00 $",0,0
Ville de Montréal,"679 000,00 $",0,0
Ville de Montréal,"896 100,00 $",0,0
Ville de Montréal,"749 000,00 $",0,0
Ville de Montréal,"1 125 000,00 $",0,0
Ville de Montréal,"785 000,00 $",0,0
Ville de Montréal,"739 000,00 $",0,0
Ville de Montréal,"380 000,00 $",0,0
Ville de Montréal,"830 000,00 $",0,0
Ville de Montréal,"1 850 000,00 $",0,0
Ville de Montréal,"999 999,00 $",0,0
Ville de Montréal,"639 000,00 $",0,0
Ville de Montréal,"28 000,00 $",0,0
Ville de Montréal,"375 900,00 $",0,0
Ville de Montréal,"695 000,00 $",0,0
Ville de Montréal,"289 000,00 $",1 chambre et salon,1.5
Ville de Montréal,"1 750 000,00 $",6 chambres ou plus,3.5
Ville de Montréal,"399 000,00 $",1,1.0
Ville de Montréal,"782 692,00 $",2,2.0
Ville de Montréal,"1 043 618,00 $",3,2.0
Ville de Montréal,"713 112,00 $",3,2.0
Ville de Montréal,"549 000,00 $",2,2.0
Ville de Montréal,"1 550 000,00 $",6 chambres ou plus,5
Ville de Montréal,"1 170 000,00 $",6 chambres ou plus,3
Ville de Montréal,"499 995,00 $",1,1.0
Ville de Montréal,"649 000,00 $",5,3.0
Ville de Montréal,"800 000,00 $",3,1.5
Ville de Montréal,"1 249 000,00 $",6 chambres ou plus,5.5
Ville de Montréal,Sur demande,3,1.5
Ville de Montréal,Sur demande,3,1.5
Ville de Montréal,Sur demande,3,1.5
Ville de Montréal,"550 000,00 $",3,1.0
Ville de Montréal,Sur demande,3,1.0
Ville de Montréal,Sur demande,3,1.0
Ville de Montréal,"162 500,00 $",0,0
Ville de Montréal,"849 000,00 $",0,0
Ville de Montréal,"1 800 000,00 $",0,0
Ville de Montréal,"1 350 000,00 $",0,0
Ville de Montréal,"459 000,00 $",0,0
Ville de Montréal,"499 000,00 $",0,0
Ville de Montréal,"510 000,00 $",0,0
Ville de Montréal,"739 900,00 $",0,0
Ville de Montréal,"949 000,00 $",0,0
Ville de Montréal,"1 495 000,00 $",0,0
Ville de Montréal,"299 999,00 $",0,0
Ville de Montréal,"970 000,00 $",0,0
Ville de Montréal,"496 900,00 $",0,0
Ville de Montréal,"900 000,00 $",0,0
Ville de Montréal,"780 000,00 $",0,0
Ville de Montréal,"2 900 000,00 $",0,0
Ville de Montréal,Sur demande,0,0
Ville de Montréal,"800 000,00 $",0,0
Ville de Montréal,"845 000,00 $",0,0
Ville de Montréal,"874 000,00 $",0,0
Ville de Montréal,"1 800 000,00 $",0,0
Ville de Montréal,"1 695 000,00 $",0,0
Ville de Montréal,"289 000,00 $",1 chambre et salon,1.5
Ville de Montréal,Sur demande,2,1.0
Ville de Montréal,"1 975 000,00 $",4,2.5
Ville de Montréal,"729 000,00 $",3,1.0
Ville de Montréal,"439 000,00 $",3,1.5
Ville de Montréal,"1 850 000,00 $",4,4.0
Ville de Montréal,"599 000,00 $",3,2.0
Ville de Montréal,"779 000,00 $",4,2.0
Ville de Montréal,"879 000,00 $",3,1.0
Ville de Montréal,"968 000,00 $",3,1.5
Ville de Montréal,"845 000,00 $",4,2.0
Ville de Montréal,Sur demande,5,2.0
Ville de Montréal,"700 000,00 $",3,2.0
Ville de Montréal,"549 000,00 $",4,2.0
Ville de Montréal,"970 000,00 $",2,1.5
Ville de Montréal,"799 000,00 $",3,1.5
Ville de Montréal,"775 000,00 $",3,1.5
Ville de Montréal,"20 000,00 $",3,2.0
Ville de Montréal,"1 550,00 $",2 chambres et coin détente,1
Ville de Montréal,"349 900,00 $",0,0
Ville de Montréal,"1 495 000,00 $",0,0
Ville de Montréal,"889 000,00 $",0,0
Ville de Montréal,"638 000,00 $",0,0
Ville de Montréal,"1 388 000,00 $",0,0
Ville de Montréal,"825 000,00 $",0,0
Ville de Montréal,"680 000,00 $",0,0
Ville de Montréal,"1 625 000,00 $",0,0
Ville de Montréal,"888 000,00 $",0,0
Ville de Montréal,"1 700 000,00 $",0,0
Ville de Montréal,"1 575 000,00 $",0,0
Ville de Montréal,"450 000,00 $",0,0
Ville de Montréal,"145 000,00 $",0,0
Ville de Montréal,Sur demande,0,0
Ville de Montréal,"250 000,00 $",0,0
Ville de Montréal,"1 100 000,00 $",0,0
Ville de Montréal,"599 000,00 $",0,0
Ville de Montréal,"990 000,00 $",0,0
Ville de Montréal,"1 195 000,00 $",0,0
Ville de Montréal,"1 349 000,00 $",0,0
Ville de Montréal,"950 000,00 $",0,0
Ville de Montréal,"668 000,00 $",0,0
Ville de Montréal,"289 000,00 $",1 chambre et salon,1.5
Ville de Montréal,"395 000,00 $",1,1.0
Ville de Montréal,"689 000,00 $",3,1.5
Ville de Montréal,"829 000,00 $",5,3.0
Ville de Montréal,"885 000,00 $",6 chambres ou plus,3
Côte-des-Neiges / Notre-Dame-de-Grâce,"850 000,00 $",6 chambres ou plus,1
Ville de Montréal,"729 000,00 $",3,1.5
Ville de Montréal,"989 000,00 $",3,2.0
Ville de Montréal,"899 000,00 $",3,2.5
Ville de Montréal,"988 889,00 $",3,1.5
Ville de Montréal,"375 000,00 $",1,1.0
Ville de Montréal,"1 285 000,00 $",3,1.0
Ville de Montréal,"694 000,00 $",3,1.5
Ville de Montréal,"1 150 000,00 $",6 chambres ou plus,6 ou plus
Ville de Montréal,"1 300 000,00 $",5,5.0
Ville de Montréal,"1 499 999,00 $",4,2.0
Ville de Montréal,"1 360 000,00 $",3,1.0
Ville de Montréal,"850 000,00 $",3,1.0
Ville de Montréal,"2 695 000,00 $",5,2.0
Ville de Montréal,"3 000 000,00 $",0,0
Ville de Montréal,"349 900,00 $",0,0
Ville de Montréal,"100 000,00 $",0,0
Ville de Montréal,"689 000,00 $",0,0
Ville de Montréal,"375 900,00 $",0,0
Ville de Montréal,"895 000,00 $",0,0
Ville de Montréal,"999 000,00 $",0,0
Ville de Montréal,"699 000,00 $",0,0
Ville de Montréal,"649 900,00 $",0,0
Ville de Montréal,"2 850 000,00 $",0,0
Ville de Montréal,"660 000,00 $",0,0
Ville de Montréal,"865 000,00 $",0,0
Ville de Montréal,"829 000,00 $",0,0
Ville de Montréal,"1 399 000,00 $",0,0
Ville de Montréal,"799 000,00 $",0,0
Ville de Montréal,"1 799 999,00 $",0,0
Ville de Montréal,"1 598 000,00 $",0,0
